p: 0.79,ripartizione,arena: III;p: 0.1,ibrida,arena: III;p: 0.79,ibrida,arena: III;p: 0.1,ripartizione,arena: III;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: I;p: 0.79,ibrida,arena: I;p: 0.1,ripartizione,arena: I;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.79,ibrida,arena: II;p: 0.5,ibrida,arena: I;p: 0.5,ripartizione,arena: I;p: 0.5,ibrida,arena: III;p: 0.1,ibrida,arena: II;p: 0.5,ripartizione,arena: III;p: 0.1,alterazione,arena: I;p: 0.5,alterazione,arena: I;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: IV;p: 0.5,ibrida,arena: II;p: 0.5,ripartizione,arena: II;p: 0.1,ripartizione,arena: II;p: 0.5,alterazione,arena: II;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,alterazione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: III;p: 0.5,alterazione,arena: IV
51.0387;93.3661;54.8432;112.2713;74.2929;54.9483;72.143;77.2245;9.9844;54.94;50.0;39.4807;0.0;53.2479;0.0888;49.2848;52.3244;48.958;40.5194;27.6309;51.7791;49.4446;28.4045;35.5776;56.8842;43.6523;38.5405;64.9305;51.0001;50.2638;48.6777;54.19;63.5789;50.0;35.3427;40.3157
58.9478;69.7713;145.8414;55.4152;74.763;46.3774;81.2298;65.6261;50.3787;78.4537;53.6484;52.6448;0.0514;51.6247;54.8821;39.5585;48.8553;50.0;51.052;40.8413;59.0499;44.253;56.4296;24.8751;45.0025;48.2432;41.6109;24.9464;49.9405;50.0;5.7341;50.0;50.472;0.3404;50.0;27.6578
4.6331;67.1133;65.1642;114.3243;67.2595;65.5887;60.7704;77.0436;8.6721;50.0;60.8969;48.624;86.2242;47.1378;54.0933;47.1576;42.642;59.525;65.5968;50.0;59.4424;38.3892;46.6433;57.9735;57.9072;38.1899;52.3051;47.0941;35.3717;12.8009;48.4519;29.9695;50.0;50.0;38.3641;65.8956
56.0873;97.0365;36.4946;9.0919;79.4855;47.8608;55.1993;72.5498;97.2548;50.0;50.1182;49.0294;50.0;61.382;48.4945;66.8471;53.1369;55.6876;50.8796;59.8229;52.8406;67.4486;56.1897;53.9556;14.9687;46.7845;37.4445;22.7208;31.3264;33.778;48.7255;1.2608;0.8255;50.0853;10.1581;50.0
50.8911;67.798;51.3785;58.4106;50.9268;79.3978;79.326;61.5753;54.0187;57.5446;55.8535;56.7025;54.6813;45.6301;56.8891;45.065;47.5048;101.4043;50.5927;13.1156;57.1134;50.2023;50.7006;32.2285;13.6602;42.6668;46.2199;67.4715;47.1994;12.0119;51.2646;53.9282;45.8708;0.1177;30.0005;21.3384
50.0;51.0422;52.3648;259.5018;75.6958;60.6891;58.2061;69.9009;68.4085;59.4132;52.5277;58.2573;116.2011;46.7203;48.9716;38.2732;44.9906;54.7026;19.6473;13.0829;60.8567;54.0974;46.8237;16.813;52.4816;39.2567;40.6004;42.7537;14.9928;50.0241;58.1642;2.5589;6.233;52.5794;51.4945;56.2696
115.0546;50.0;54.0542;50.0;64.0636;46.7867;69.4439;74.5979;107.5033;54.3285;50.0;13.5973;52.3937;39.0195;35.9042;43.6366;58.2248;110.4223;61.4088;25.1584;55.8687;64.666;50.787;28.3205;45.5978;39.0258;42.5325;57.8402;48.1951;18.5948;48.685;50.0;31.4039;50.0;2.5374;18.5402
65.2928;117.654;120.6162;65.6184;54.4563;76.8057;75.922;78.3556;24.8065;104.2001;37.1152;65.6534;54.1341;49.604;53.2472;45.551;49.8554;22.7588;45.0608;34.1092;37.2181;48.6008;44.5678;50.0;46.683;44.3699;47.3583;50.3261;38.4315;50.0;13.0468;1.9694;12.639;1.6583;7.8898;50.0
110.9613;56.2313;52.1326;41.978;63.3443;67.8152;44.7095;73.0785;94.3491;69.4272;50.4655;49.5918;50.0;57.0034;43.3262;47.3372;47.3218;61.0254;53.3188;50.1184;5.7954;48.7955;13.8535;15.3267;30.2776;38.2106;48.2755;14.3254;41.9249;6.4984;48.6218;1.6814;0.4669;68.9015;50.2477;52.201
50.0;50.1814;59.3892;47.2433;80.1137;49.3158;51.3239;79.1482;47.2417;80.7927;55.9629;51.3236;50.0;58.5594;36.0119;57.8149;54.9869;50.6302;55.9048;44.4279;60.2629;49.9804;60.0862;51.2304;27.1132;47.1496;31.5464;58.304;37.6032;33.0148;7.3805;2.4946;20.3901;50.1197;39.9746;0.0
161.693;58.4144;317.7352;51.111;63.5853;56.6471;76.8039;78.5226;66.8415;50.3298;63.1285;17.6745;50.0;38.8882;51.3019;44.5583;34.7794;56.0489;40.0764;46.1331;25.7423;54.6562;44.7561;45.1497;50.0951;43.2108;42.8589;32.2945;13.7863;1.5087;3.4603;0.7934;5.3184;68.79;3.0871;50.4715
67.832;107.0228;50.0;315.1167;49.7002;77.3665;78.3642;69.1953;50.0;36.6196;51.3099;48.2633;5.7321;47.359;62.261;57.4802;64.477;50.6659;58.6444;42.7969;53.0954;49.7953;48.5661;47.7448;17.5081;48.788;50.2422;55.063;42.2738;96.4658;51.3736;50.0;66.0702;50.0;46.9631;50.0
109.9872;56.094;50.2372;20.3564;79.0829;71.0033;63.4447;71.8974;104.6204;85.7157;97.2522;69.3714;52.9435;46.7866;45.4503;38.4319;50.7191;56.3239;44.1015;53.7708;50.9632;48.0433;48.6205;4.8385;15.9903;36.4395;45.0955;54.2805;55.4335;50.0;50.8236;71.5981;50.0;38.2922;30.5224;0.6067
74.0983;57.5598;48.6437;5.1855;78.4459;40.2743;63.5196;71.3307;50.3539;78.425;103.3751;50.9039;4.6838;36.5671;48.2916;45.7797;51.1871;58.3751;48.5841;28.4069;69.5061;38.7522;54.3556;55.9495;50.0878;34.2499;39.2707;21.9491;49.2337;43.713;62.7276;80.7086;36.7822;50.0;1.8839;54.7805
50.0;50.0;50.0;58.9386;76.9012;75.6684;74.3761;72.6477;54.9444;97.2782;57.857;54.5446;52.1969;61.3235;48.5727;44.4519;48.7961;35.2325;43.732;63.4635;69.3089;45.0468;51.1801;31.1097;42.8741;49.7296;47.7195;11.8804;40.4432;40.5223;2.3421;24.6027;50.0;59.1622;24.947;50.7074
255.1423;92.0823;70.1346;74.5174;73.1215;42.7238;59.5324;9.2265;54.9545;50.0;72.5835;63.349;0.678;51.2748;48.6688;51.3129;54.1083;56.9873;52.8978;58.2424;49.5797;32.221;42.8211;30.1351;40.6204;57.815;46.8634;56.7088;49.0024;38.2877;5.742;77.5861;6.1147;0.0;40.6532;17.2623
53.0619;80.6808;50.3859;50.0;50.0584;57.7;70.5823;70.8253;86.0888;53.5976;55.1906;51.2938;106.9807;55.0157;53.2199;46.9354;54.5315;44.2865;57.9196;65.284;48.6246;53.1137;58.2563;56.9284;50.0;46.1939;46.7787;0.1213;40.261;8.4127;19.2305;50.4993;0.3695;0.3452;50.0;18.4803
97.8407;118.0273;26.839;9.0044;57.6818;6.172;68.9523;80.5766;63.5562;50.4112;65.7166;47.3946;50.3043;48.6067;47.3797;46.3344;56.4237;65.4718;24.5174;49.1298;0.1054;49.8429;48.3483;62.0722;46.5106;45.8769;35.7812;62.7563;35.1084;7.4297;64.0281;50.0;73.0786;3.0342;26.242;0.3857
119.7395;117.2183;102.7279;282.542;72.9565;58.0277;76.5096;72.6348;50.1185;50.0;50.0;55.6745;60.5982;47.8182;55.4668;49.17;56.2241;50.1176;59.2087;35.83;22.7087;42.7982;46.5826;47.1684;52.9993;43.468;44.2458;56.946;41.0222;107.2151;18.8949;40.9899;4.1123;42.155;32.4918;81.5458
106.4708;17.3825;8.2192;107.0701;59.7445;81.3188;65.3747;79.9042;56.563;50.0;50.0;23.0322;93.744;64.5751;48.9056;50.7176;57.3746;29.9012;48.879;51.119;52.7549;71.0542;48.6287;34.3288;30.6123;47.2615;36.5639;31.4073;58.5561;50.0;48.6224;50.0;0.0241;47.2275;48.8028;50.6951
114.8398;90.6583;57.4596;115.8843;62.0461;59.9737;65.0166;16.2548;103.6371;66.458;55.7498;64.6091;57.9753;59.1794;50.7309;45.5574;59.7529;54.0308;46.2422;53.7471;31.5617;48.1868;34.7927;49.32;28.86;40.6638;40.7261;14.9514;43.8547;50.0;47.6792;50.0;23.3879;84.2259;22.8394;13.3966
