epoch;p: 0.79,ripartizione,arena: III;p: 0.1,ibrida,arena: III;p: 0.79,ibrida,arena: III;p: 0.1,ripartizione,arena: III;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: I;p: 0.79,ibrida,arena: I;p: 0.1,ripartizione,arena: I;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.79,ibrida,arena: II;p: 0.5,ibrida,arena: I;p: 0.5,ripartizione,arena: I;p: 0.5,ibrida,arena: III;p: 0.1,ibrida,arena: II;p: 0.5,ripartizione,arena: III;p: 0.1,alterazione,arena: I;p: 0.5,alterazione,arena: I;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: IV;p: 0.5,ibrida,arena: II;p: 0.5,ripartizione,arena: II;p: 0.1,ripartizione,arena: II;p: 0.5,alterazione,arena: II;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,alterazione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: III;p: 0.5,alterazione,arena: IV
1;2.56582799;3.252564490000004;2.5735339199999983;3.380522820000007;4.3529609199999975;2.398141949999996;4.371175360000004;2.4312994699999932;2.7311994099999906;2.9225866999999934;3.36338955;4.402280390000014;3.5424815400000087;2.772307149999984;2.810753609999993;9.146914470000056;9.281967109999979;1.5277353299999985;1.248323420000003;1.536623240000001;2.398331869999993;9.207223190000025;2.632633729999992;1.2464065900000003;1.2701857399999998;6.263776039999998;6.344285369999977;1.2607592600000108;6.141732290000008;2.7988623400000034;1.3196288900000066;3.2148873973973995;2.759595080000002;3.6505264300000055;1.53768319;1.2587155999999995
2;4.063246139999999;4.76133027999999;4.335561689999985;4.726096279999995;7.093122850000013;3.850398400000021;7.385956170000031;3.7213748299999976;4.487915500000003;4.691368490000003;4.498455289999993;5.6403476400000345;4.818751979999984;4.562038410000015;4.821834960000011;12.82699283000005;12.721601399999962;2.5065509799999983;1.9454989600000034;2.500457379999993;2.8280609199999875;11.020613810000016;3.7912726699999753;2.044771819999996;2.1254302400000062;9.56405913;9.479783169999994;1.9320582099999928;8.392983919999985;3.881162850000005;1.6874290000000096;4.035643553553548;3.903149919999997;4.52399313999999;2.294881670000007;1.9730699300000036
3;5.604497639999988;6.122482609999978;5.891956889999973;5.829217309999986;9.666015180000015;5.274920160000017;10.18241440000003;4.827740090000028;5.830692190000014;6.0685093700000134;5.5090781299999785;6.779507940000055;5.679698469999979;6.190987050000038;6.75861143;15.516159930000052;15.525692059999967;3.4763257299999912;2.7118288199999943;3.337367019999987;3.249912999999981;12.483294610000009;4.6221432899999995;2.8854729799999865;2.8645047500000076;12.103415519999999;11.90922191999997;2.5444828299999798;9.903666139999952;4.611999069999994;1.9765435400000009;4.475596086086074;4.568636619999987;4.893409319999982;2.9325475199999995;2.491806670000007
4;7.028891739999962;7.311725409999988;7.269129830000018;6.889985049999981;12.060628539999998;6.68376274000003;12.861865760000013;6.1002674500000404;7.085045419999997;7.417768470000011;6.578969179999971;7.896394320000021;6.262016959999984;7.720911990000012;8.392213179999995;17.707072930000052;17.77552626999998;4.290282539999997;3.393938719999997;4.164871999999998;3.6477450199999875;13.765947030000016;5.511120810000013;3.6299434999999933;3.678638690000003;14.121370789999983;13.911432459999952;3.165791409999983;11.162771939999994;5.254226549999994;2.291613539999997;4.859476286286281;5.107047779999985;5.239523989999984;3.4785645499999873;3.025667900000005
5;8.393354389999976;8.41637509000001;8.424293070000024;7.890044109999998;14.493245010000031;8.046767459999984;15.345959700000003;7.229906420000033;8.267347790000004;8.520071469999984;7.445878869999998;9.004793810000011;6.9629208999999825;9.17753037;10.081815200000008;19.50134733000006;19.614459990000018;5.088312919999988;4.14599209;5.015038030000012;4.047132800000002;14.832444209999998;6.344639420000021;4.4304112799999915;4.491888269999993;15.767488599999968;15.627330989999908;3.70879966999999;12.197148710000002;5.785521789999995;2.5508742899999937;5.195218238238237;5.594276469999993;5.514174409999986;3.926248489999985;3.478771810000002
6;9.543966499999982;9.471101910000023;9.56545496000002;8.827430100000004;16.570274049999952;9.39483638999997;17.800492849999987;8.35557675;9.330669190000009;9.636937910000006;8.286351650000015;10.12315961999998;7.627303240000007;10.622055619999992;11.638971049999963;21.038317900000077;21.187010129999962;6.003166469999987;4.834243010000024;5.797502220000023;4.51689648000001;15.788830000000067;7.122972000000016;5.1680969199999955;5.179388819999994;17.229309599999926;17.04865311999995;4.2133213399999905;13.16487088000003;6.255845959999994;2.836023779999991;5.523407867867868;5.992019099999989;5.7824296299999896;4.429523999999989;4.066105869999989
7;10.65012907999998;10.499183230000032;10.880293490000017;9.643762869999996;18.563230589999957;10.89172976999998;19.998606479999975;9.487426909999975;10.51501778000003;10.699304229999976;9.06538961000003;11.221668649999957;8.15604147000003;11.973206889999979;13.052633749999975;22.401795719999953;22.518679939999956;6.847571190000004;5.581564890000019;6.625381230000018;4.983941909999996;16.648779420000018;7.8654887;5.8864852699999854;5.8970368;18.51050811999995;18.26032556999996;4.695284459999991;13.94445543999999;6.773264519999995;3.131559429999992;5.868251181181182;6.493708109999988;6.093926809999989;4.903676389999994;4.524375479999984
8;11.75342803999999;11.403180980000041;12.01139843000001;10.454633559999996;20.571909819999995;12.192451199999962;22.10567231;10.518415269999974;11.474289890000007;11.653732319999994;9.763036160000057;12.294354359999973;8.77509794000004;13.212852179999938;14.47625864;23.623935180000025;23.65268509999997;7.565523079999986;6.306733440000027;7.374681250000013;5.446803510000012;17.40825423999996;8.752305299999998;6.605187859999996;6.649510869999994;19.62866460999995;19.398664009999933;5.234191089999998;14.679070119999999;7.292736429999992;3.4056117699999975;6.176215305305303;6.95803807;6.374848969999984;5.304309180000002;4.9116832299999835
9;12.733844500000009;12.379207580000038;13.086415350000028;11.16101543;22.091064349999982;13.559102259999964;23.979728840000046;11.60670787999996;12.243108679999992;12.587078229999996;10.417705140000056;13.316089819999947;9.303039780000047;14.449556349999993;15.808954500000057;24.681999200000035;24.65449914999993;8.352077009999993;6.969988790000017;8.136598539999989;5.8663178500000095;18.113214999999943;9.585682369999981;7.3274886200000005;7.3578355399999955;20.579545969999938;20.42127037999997;5.7900169199999905;15.36124611999998;7.723339559999996;3.685994350000007;6.475932402402397;7.3095815800000015;6.610192079999983;5.764501450000002;5.298065629999989
10;13.798115019999988;13.33791986000005;14.180615119999999;11.883117060000014;23.68911543;14.84977894999994;25.736883169999988;12.794011059999967;13.045686060000007;13.524490160000022;11.15564567000006;14.277648129999958;9.927241010000042;15.643704589999993;17.138097120000083;25.679771720000005;25.609283979999965;9.04779963000001;7.607033590000002;8.796180399999995;6.3288419400000215;18.822795509999988;10.359943309999995;7.986189320000009;8.078446890000015;21.50913932999993;21.386846929999958;6.3254043399999755;15.956160979999972;8.205352079999983;3.9825473100000135;6.786614234234223;7.716137789999992;6.83442866999999;6.162620440000001;5.655089749999984
11;14.774393360000008;14.361343930000023;15.167240819999977;12.643093590000014;25.26316001000003;16.12389973999999;27.383404740000003;13.884789770000015;13.842244790000029;14.469515980000049;11.75843927000008;15.18302242999993;10.493514670000042;16.733628630000023;18.387620820000034;26.539912290000014;26.49179154999994;9.803777200000011;8.351937789999967;9.462756819999983;6.777088950000034;19.46753583999999;11.139995339999977;8.590260740000002;8.748991800000008;22.378543659999956;22.215192200000033;6.80418488999998;16.51034999999999;8.692072839999973;4.296563490000014;7.062127897897898;8.070062229999992;7.0409783799999905;6.551048530000003;6.0209807799999755
12;15.742636690000017;15.202175010000001;16.11053634999998;13.265100090000027;26.711913150000083;17.528643459999984;28.984844700000103;14.879429430000027;14.739145270000042;15.308203970000063;12.349185090000093;16.06601610999996;10.992715540000061;17.661195579999987;19.61184035000011;27.363662820000002;27.28597561;10.42069873000001;9.016802029999972;10.120474139999956;7.2566392800000195;20.06292003000002;11.870494460000002;9.312645730000003;9.468305509999993;23.085147659999972;23.014317690000034;7.3399146599999785;17.032499049999966;9.05730729;4.604118860000012;7.285663803803811;8.488894100000005;7.288275569999989;6.920296280000018;6.393715789999987
13;16.72647867000003;16.05373158000003;17.033374760000022;13.95599142000005;28.118238540000068;18.856846240000017;30.386492330000078;15.84044215;15.57124578000003;16.334113680000073;12.980613640000088;17.036633590000026;11.544910310000063;18.540838859999994;20.70861127000011;28.08371991000004;28.04570561999997;11.075899570000008;9.737005889999995;10.796342209999953;7.7644195600000065;20.647891120000015;12.60512972;9.955851350000009;10.034556250000001;23.825679409999953;23.712251300000016;7.844465959999993;17.573834299999998;9.50306679;4.913413920000018;7.570176886886907;8.861094319999994;7.493065799999988;7.275181200000019;6.69542314999998
14;17.66708738000003;16.88733470000004;18.062891930000017;14.712555940000058;29.4275416900001;20.202081360000015;31.656523580000112;16.738857860000017;16.340722070000048;17.106606900000074;13.56000994000007;17.91847924000006;12.012857750000052;19.48150348000002;21.72751997000011;28.75792244000003;28.700202429999948;11.72463177;10.399513169999969;11.438666389999964;8.300724670000006;21.20965182000003;13.30499019999997;10.639668319999991;10.661411050000005;24.51474767999995;24.39284122000006;8.282027769999994;18.10796127000003;9.876145960000015;5.242220350000011;7.801611071071088;9.21667629;7.751432989999991;7.634388370000031;7.037959879999991
15;18.560999739999993;17.729404749999993;19.04660319000003;15.38723749000006;30.65676772000009;21.431004670000092;32.96325859000007;17.73634653000002;17.112577590000026;17.94249299000009;14.215778840000075;18.780041640000054;12.554475490000053;20.37130847999999;22.71787105000013;29.36350652000001;29.28822764999995;12.318787460000005;11.110182839999961;11.986655969999939;8.808498840000016;21.73267585000001;13.980772939999984;11.186013879999988;11.243665090000013;25.123198479999967;24.96805207000004;8.750341939999997;18.59863569000002;10.228497460000016;5.605000270000016;8.048440400400413;9.578658479999996;7.975908659999996;7.926802910000017;7.373912489999982
16;19.500282779999964;18.52527747999999;20.00577577000003;16.037212940000067;31.861575670000143;22.601524280000152;34.05723402000011;18.66077817000004;17.921022070000056;18.617907130000113;14.844623190000094;19.528889800000073;13.012420410000043;21.21178803000001;23.68371702000014;29.96514817999998;29.904133759999898;12.843412819999992;11.799282779999984;12.572513729999946;9.391848750000015;22.24153956000005;14.676719569999992;11.736103750000012;11.816009259999992;25.698232649999948;25.555139180000065;9.21480976999999;19.079451870000007;10.624710280000022;5.958027320000017;8.301140670670677;9.95486978000001;8.209598570000004;8.236160490000007;7.718249659999978
