p: 0.79,ibrida,arena: III;;p: 0.1,alterazione,arena: I;;p: 0.1,alterazione,arena: II;;p: 0.79,alterazione,arena: IV;;p: 0.79,alterazione,arena: II;;p: 0.79,ripartizione,arena: IV;;p: 0.5,ibrida,arena: III;;p: 0.79,alterazione,arena: I;;p: 0.5,alterazione,arena: I;;p: 0.5,ripartizione,arena: I;;p: 0.5,ripartizione,arena: III;;p: 0.1,ibrida,arena: IV;;p: 0.1,alterazione,arena: IV;;p: 0.79,ibrida,arena: I;;p: 0.79,ibrida,arena: II;;p: 0.5,ripartizione,arena: IV;;p: 0.5,ibrida,arena: IV;;p: 0.79,ibrida,arena: IV;;p: 0.5,alterazione,arena: IV;;p: 0.1,ibrida,arena: I;;p: 0.1,ibrida,arena: II;;p: 0.1,ripartizione,arena: IV;;p: 0.1,ripartizione,arena: I;;p: 0.5,alterazione,arena: III;;p: 0.1,alterazione,arena: III;;p: 0.5,alterazione,arena: II;;p: 0.5,ripartizione,arena: II;;p: 0.1,ripartizione,arena: III;;p: 0.79,ripartizione,arena: III;;p: 0.5,ibrida,arena: I;;p: 0.1,ripartizione,arena: II;;p: 0.5,ibrida,arena: II;;p: 0.79,ripartizione,arena: II;;p: 0.1,ibrida,arena: III;;p: 0.79,alterazione,arena: III;;p: 0.79,ripartizione,arena: I
statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness;statesCount;fitness
234;120.6162;37;37.2181;26;5.7341;468;12.639;616;44.5678;17;24.8065;752;48.958;374;52.6448;801;49.4446;535;42.642;652;59.8229;56;53.6484;75;0.1177;145;81.2298;107;51.3019;745;45.0025;751;35.5776;94;78.4537;801;27.6578;106;79.3978;69;40.5194;82;116.2011;17;77.2245;328;51.4945;327;29.9695;319;49.9405;801;41.6109;45;112.2713;185;51.0387;573;38.2732;27;64.9305;799;43.6523;229;45.6301;34;67.798;186;12.8009;221;79.4855
126;54.0542;133;52.7549;40;58.1642;520;66.0702;190;50.787;210;68.4085;186;54.7026;402;69.3714;801;48.7955;801;43.2897;775;13.1156;15;50.1182;323;68.79;271;79.326;338;48.5727;801;14.9687;442;4.8385;207;59.4132;401;56.2696;35;76.8057;16;50.8796;25;115.1503;26;79.1482;135;2.5374;110;71.5981;801;51.0001;473;42.5325;55;259.5018;243;115.0546;801;47.1576;49;67.4715;801;48.2432;139;49.604;451;69.7713;209;96.4658;171;80.1137
361;317.7352;792;49.5797;4;7.3805;71;6.1147;68;13.8535;179;104.6204;217;110.4223;75;54.5446;801;44.253;801;45.9858;796;27.6309;92;52.5277;514;42.155;180;78.3642;215;44.2132;685;30.2776;517;26.8673;432;36.6196;229;18.5402;20;77.3665;25;50.5927;19;106.993;15;73.0785;224;1.8839;325;0.7934;801;31.3264;734;48.2755;160;114.3243;252;65.2928;801;39.5585;79;42.7537;408;39.2567;105;46.7203;53;51.0422;171;1.5087;14;79.0829
175;70.1346;18;6.3539;19;2.3421;125;0.3695;284;44.7561;152;66.8415;745;55.6876;256;47.3946;801;49.7953;585;41.0399;801;44.4279;239;37.1152;468;47.2275;296;76.5096;79;56.4769;746;15.9903;793;31.2024;324;85.7157;770;-2.2181;40;81.3188;76;44.1015;29;70.6908;25;78.3556;489;26.242;223;69.6529;538;38.4315;598;37.4445;24;58.4106;432;109.9872;647;44.4519;14;14.3254;801;47.2615;81;57.1823;239;117.654;674;43.713;457;78.4459
226;26.839;30;11.9294;423;50.8236;648;13.8627;734;34.7927;193;68.9602;800;22.7588;249;51.2938;801;32.221;801;45.3067;800;25.1584;562;60.8969;345;50.8955;362;53.0447;539;41.7833;800;50.0951;690;57.7216;164;6.488;536;50.4715;51;75.6684;68;58.6444;68;36.1345;4;77.0436;309;40.6532;89;2.4275;801;41.9249;801;31.5464;20;58.9386;402;119.7395;801;38.4319;30;62.7563;780;57.815;65;60.2119;219;67.1133;117;1.0108;83;76.27
452;48.6437;15;58.801;65;6.2477;184;3.1951;367;50.6413;208;63.5978;264;56.3239;193;77.5677;38;49.8429;791;44.682;594;65.284;125;72.5835;775;2.7773;207;62.7794;63;48.8537;721;58.591;470;55.3962;130;63.6876;610;54.7805;43;79.8364;38;56.1408;44;65.3308;8;78.5226;766;22.8394;54;2.3633;801;14.9928;481;46.7787;22;0.2366;42;9.7857;801;46.3344;35;37.2995;303;40.6638;318;51.7054;138;118.0273;214;48.6672;112;77.4511
47;50.1259;402;55.1333;787;34.2851;237;100.1725;134;69.8591;174;64.9512;634;56.9873;212;35.4793;801;41.8336;801;41.4621;753;53.7471;135;65.7166;131;11.0713;302;52.6329;255;54.1711;253;63.182;219;24.0847;344;70.286;801;18.4803;66;77.453;7;45.5646;87;38.6565;10;80.5766;426;5.1971;154;116.4842;801;40.4432;466;36.5639;80;265.3336;244;114.2616;801;42.8032;5;16.0866;772;48.8934;234;35.3416;162;117.2183;301;56.7376;75;78.9969
164;65.1844;47;59.187;85;75.1241;343;15.9358;196;55.7119;71;8.4646;800;44.2865;299;49.3484;741;37.1747;801;48.1384;801;42.4478;254;52.8949;13;17.4491;149;76.0474;701;46.7268;801;53.3494;592;51.4136;371;95.6603;245;51.3541;10;76.8784;134;49.0551;11;0.4725;11;79.9042;188;4.1096;280;113.2471;104;51.8049;801;42.8589;18;112.7006;432;96.2835;759;45.4837;6;13.0835;784;44.4688;25;52.8747;85;120.9004;261;70.6842;264;81.3249
534;90.4368;50;2.5462;231;53.3082;77;67.9798;147;50.7103;165;67.0576;801;35.2325;115;80.7806;801;48.1868;771;37.0641;691;34.3123;131;56.6861;659;2.7681;98;70.735;119;50.5397;679;23.5309;559;39.3081;116;55.0402;600;13.3966;154;50.6;51;53.1579;29;2.6847;3;9.2265;403;52.7776;151;9.6123;801;45.6685;482;43.6795;51;121.3912;292;73.1595;799;48.756;13;3.1005;801;45.8104;103;50.2653;84;71.6668;214;47.9331;20;81.6629
