epoch;p: 0.79,ripartizione,Arena: III,𝜈: 0;p: 0.1,ibrida,Arena: III,𝜈: 0;p: 0.79,ripartizione,Arena: III,𝜈: 1;p: 0.79,ibrida,Arena: III,𝜈: 0;p: 0.1,ibrida,Arena: III,𝜈: 1;p: 0.1,ripartizione,Arena: III,𝜈: 0;p: 0.79,ibrida,Arena: III,𝜈: 1;p: 0.79,ripartizione,Arena: I,𝜈: 0;p: 0.1,ibrida,Arena: I,𝜈: 0;p: 0.1,ibrida,Arena: I,𝜈: 1;p: 0.79,ripartizione,Arena: I,𝜈: 1;p: 0.1,ripartizione,Arena: III,𝜈: 1;p: 0.79,ibrida,Arena: I,𝜈: 0;p: 0.1,ripartizione,Arena: I,𝜈: 1;p: 0.79,ibrida,Arena: I,𝜈: 1;p: 0.1,ripartizione,Arena: I,𝜈: 0;p: 0.79,ripartizione,Arena: IV,𝜈: 0;p: 0.79,ripartizione,Arena: I,𝜈: 10;p: 0.79,ibrida,Arena: IV,𝜈: 0;p: 0.1,ibrida,Arena: I,𝜈: 10;p: 0.1,ibrida,Arena: IV,𝜈: 0;p: 0.1,ripartizione,Arena: I,𝜈: 10;p: 0.79,ibrida,Arena: I,𝜈: 10;p: 0.79,ripartizione,Arena: IV,𝜈: 1;p: 0.79,ibrida,Arena: IV,𝜈: 1;p: 0.1,ripartizione,Arena: IV,𝜈: 0;p: 0.79,ripartizione,Arena: III,𝜈: 10;p: 0.1,ibrida,Arena: IV,𝜈: 1;p: 0.79,ibrida,Arena: III,𝜈: 10;p: 0.79,ripartizione,Arena: II,𝜈: 0;p: 0.79,ibrida,Arena: II,𝜈: 0;p: 0.79,ripartizione,Arena: II,𝜈: 1;p: 0.1,ibrida,Arena: III,𝜈: 10;p: 0.79,ibrida,Arena: II,𝜈: 1;p: 0.1,ibrida,Arena: II,𝜈: 1;p: 0.1,ibrida,Arena: II,𝜈: 0;p: 0.1,ibrida,Arena: II,𝜈: 10;p: 0.79,ripartizione,Arena: II,𝜈: 10;p: 0.79,ibrida,Arena: II,𝜈: 10;p: 0.79,ripartizione,Arena: I,𝜈: 100;p: 0.1,ripartizione,Arena: IV,𝜈: 1;p: 0.79,ripartizione,Arena: IV,𝜈: 10;p: 0.79,ibrida,Arena: I,𝜈: 100;p: 0.79,ibrida,Arena: IV,𝜈: 10;p: 0.1,ripartizione,Arena: II,𝜈: 10;p: 0.1,ripartizione,Arena: II,𝜈: 1;p: 0.1,ibrida,Arena: IV,𝜈: 10;p: 0.1,ripartizione,Arena: II,𝜈: 0;p: 0.1,ripartizione,Arena: III,𝜈: 10;p: 0.79,ripartizione,Arena: III,𝜈: 100;p: 0.1,ibrida,Arena: I,𝜈: 100;p: 0.79,ibrida,Arena: III,𝜈: 100;p: 0.1,ripartizione,Arena: I,𝜈: 100;p: 0.79,ripartizione,Arena: II,𝜈: 100;p: 0.79,ibrida,Arena: II,𝜈: 100;p: 0.1,ibrida,Arena: II,𝜈: 100;p: 0.1,ibrida,Arena: III,𝜈: 100;p: 0.1,ripartizione,Arena: II,𝜈: 100;p: 0.79,ripartizione,Arena: IV,𝜈: 100;p: 0.79,ibrida,Arena: IV,𝜈: 100;p: 0.1,ripartizione,Arena: III,𝜈: 100;p: 0.1,ripartizione,Arena: IV,𝜈: 10;p: 0.1,ibrida,Arena: IV,𝜈: 100;p: 0.79,ibrida,Arena: III,𝜈: 1000;p: 0.79,ripartizione,Arena: III,𝜈: 1000;p: 0.1,ripartizione,Arena: III,𝜈: 1000;p: 0.1,ibrida,Arena: III,𝜈: 1000;p: 0.79,ibrida,Arena: II,𝜈: 1000;p: 0.79,ripartizione,Arena: II,𝜈: 1000;p: 0.1,ripartizione,Arena: IV,𝜈: 100;p: 0.1,ibrida,Arena: II,𝜈: 1000;p: 0.1,ripartizione,Arena: II,𝜈: 1000;p: 0.79,ibrida,Arena: I,𝜈: 1000;p: 0.79,ripartizione,Arena: I,𝜈: 1000;p: 0.1,ibrida,Arena: I,𝜈: 1000;p: 0.1,ripartizione,Arena: I,𝜈: 1000;p: 0.79,ibrida,Arena: IV,𝜈: 1000;p: 0.79,ripartizione,Arena: IV,𝜈: 1000;p: 0.1,ibrida,Arena: IV,𝜈: 1000;p: 0.1,ripartizione,Arena: IV,𝜈: 1000
1;2.56582799;3.252564490000004;1.5016337937937962;2.5735339199999983;1.3687817999999965;3.380522820000007;1.4596900899999963;4.3529609199999975;2.398141949999996;2.668880949999986;5.309079020000017;1.3986096200000007;4.371175360000004;2.431155229999991;5.068530510000003;2.4312994699999932;2.7311994099999906;7.370751440000019;2.9225866999999934;4.124225350000011;3.36338955;4.203074750000007;7.519686510000007;1.2322793500000013;1.284657570000002;3.5424815400000087;1.2478781199999978;1.4831945599999998;1.2383978799999977;2.772307149999984;2.810753609999993;3.2447597499999947;1.0044954399999977;3.268837369999983;1.4027868400000088;1.248323420000003;2.4298234400000007;4.639097150000016;4.601484710000005;10.555943590000025;1.4671765700000003;1.1528013399999968;10.739829679999989;1.1242938200000017;2.385573479999986;1.4741815000000085;0.8802797099999979;1.2607592600000108;1.02808876;2.34609103;10.037934290000004;2.350663470000003;9.934558110000008;7.705103479999998;7.654563110000042;7.070056950000029;2.46174284;6.936473109999982;1.7879090199999998;1.749273089999999;2.487704509999998;0.9912631499999985;1.919997650000001;1.1150935700000004;1.1961369199999987;1.3461384000000016;1.217337640000001;3.737592390000001;3.838454219999996;1.9298643500000006;4.1531728800000085;3.9943980800000056;6.676982630000001;6.781619589999995;7.116789650000002;7.036525880000021;0.6687976299999998;0.6186835699999997;0.7345459700000009;0.6843401099999994
2;4.063246139999999;4.76133027999999;2.41200861861862;4.335561689999985;2.4125926300000042;4.726096279999995;2.5116171000000054;7.093122850000013;3.850398400000021;4.2709878;8.594667670000003;2.455689509999989;7.385956170000031;3.8425953700000193;8.555333850000013;3.7213748299999976;4.487915500000003;11.15944651999998;4.691368490000003;6.232376779999996;4.498455289999993;6.040769020000011;11.286641770000053;2.148201400000001;2.2484514200000048;4.818751979999984;2.03142199;2.361266260000005;2.001140609999998;4.562038410000015;4.821834960000011;5.3199430899999935;1.5969249999999988;5.432531170000012;2.3037173999999823;1.9454989600000034;3.6587430799999994;7.30265848000002;7.504637609999975;13.976370729999974;2.4199924200000087;1.8408411799999986;14.072792670000002;1.8051665899999954;3.490263730000001;2.200987629999995;1.427471819999999;1.9320582099999928;1.582299099999998;3.6117199100000064;12.756983690000023;3.6227369099999938;12.615226779999999;10.969359260000013;11.000198029999986;9.87419998999998;3.6676152499999937;9.776618679999991;2.695632849999997;2.718039079999999;3.5680379800000024;1.4577686499999993;2.834026989999997;1.7911113299999983;1.859466029999994;2.060363010000006;1.9002170800000024;5.475800779999992;5.601807079999974;2.8261547499999993;5.9680970900000245;5.8119751000000175;8.411837409999977;8.468448670000022;8.816106750000008;8.76611902;1.1012006099999996;1.0184212700000004;1.140122489999999;1.0838709999999998
3;5.604497639999988;6.122482609999978;3.354300670670679;5.891956889999973;3.3421646600000035;5.829217309999986;3.445803510000005;9.666015180000015;5.274920160000017;5.825727840000016;11.358165440000002;3.437150369999998;10.18241440000003;5.219035670000018;11.864455920000006;4.827740090000028;5.830692190000014;14.389563150000031;6.0685093700000134;8.141017560000021;5.5090781299999785;7.695260719999967;14.850696440000014;2.991293840000004;3.1214202700000016;5.679698469999979;2.8268245999999966;3.137688030000005;2.7668576199999984;6.190987050000038;6.75861143;7.182196680000007;2.099157330000002;7.4795901400000115;3.0974666899999694;2.7118288199999943;4.776160979999996;9.52448687000003;9.858305659999983;16.41223276000004;3.192696620000012;2.508839209999996;16.552133540000003;2.5061059600000113;4.451439160000007;2.8899517799999885;1.9339774400000032;2.5444828299999798;2.122221959999997;4.8556827100000115;14.890538089999987;4.809287980000009;14.577152829999962;13.229399319999992;13.368601929999967;11.919405559999985;4.733769840000008;11.709576279999935;3.598348829999999;3.705269140000011;4.635015990000006;1.9335840400000064;3.5938579499999928;2.488294580000003;2.5593044000000003;2.7992263000000075;2.606368739999994;6.733913899999997;6.807567179999981;3.698475720000011;7.265538160000006;7.063778020000026;9.61108392999999;9.61569768999999;9.962671760000026;9.950690379999976;1.48834425;1.4360371800000058;1.5627157099999969;1.4392653900000008
4;7.028891739999962;7.311725409999988;4.228246616616622;7.269129830000018;4.103593710000006;6.889985049999981;4.380676239999998;12.060628539999998;6.68376274000003;7.540595580000014;14.183787080000062;4.225099549999994;12.861865760000013;6.551240270000046;14.770777370000037;6.1002674500000404;7.085045419999997;17.35777910000001;7.417768470000011;10.06771083000004;6.578969179999971;9.243414629999965;17.98640905000001;3.812149599999994;4.039326619999998;6.262016959999984;3.5274808100000095;3.8935757700000067;3.5173938399999933;7.720911990000012;8.392213179999995;8.825194950000023;2.7019942600000073;9.378900629999988;3.9250586900000046;3.393938719999997;5.85208553000002;11.563005280000029;11.97230084999997;18.33350025999996;3.9465820700000003;3.0422301599999964;18.41602434999998;3.1732841600000077;5.328867640000027;3.623167219999985;2.4769947100000036;3.165791409999983;2.5671786400000003;5.944315000000021;16.454190849999886;5.874318519999994;16.12679736999993;15.07884636999999;15.170942769999982;13.509204959999991;5.678650540000003;13.122485919999965;4.471833490000016;4.547893990000003;5.558413020000002;2.4205083000000025;4.359860989999992;3.087018590000007;3.204596890000001;3.518273280000008;3.2867893599999976;7.64200002999998;7.767212609999982;4.4391462100000165;8.211889439999998;8.040983959999984;10.552289229999975;10.61646904000004;10.81254211999996;10.84740639999997;1.8497832100000002;1.810313890000002;1.969203229999997;1.8297604400000014
5;8.393354389999976;8.41637509000001;5.07865646646648;8.424293070000024;4.886913059999987;7.890044109999998;5.353282499999982;14.493245010000031;8.046767459999984;9.023291590000007;16.883782190000055;5.009297479999993;15.345959700000003;7.813935620000023;17.40391188000002;7.229906420000033;8.267347790000004;19.916622250000145;8.520071469999984;11.974792830000004;7.445878869999998;10.84591052999993;20.52365946999994;4.61190902999998;4.781664609999995;6.9629208999999825;4.1781227100000145;4.5217365799999945;4.181383310000003;9.17753037;10.081815200000008;10.362491820000002;3.233647020000003;11.039616349999958;4.752292510000016;4.14599209;6.833475579999987;13.329201520000009;13.932342229999986;19.85254527;4.548357559999989;3.6296894199999907;19.926394749999908;3.830631779999994;6.115880810000037;4.25812743;2.98175595;3.70879966999999;2.943541420000003;6.927594139999989;17.797836729999855;6.814283439999987;17.389007149999948;16.52901594000004;16.697025700000015;14.820994429999987;6.571403469999993;14.322221039999922;5.256680810000023;5.355583280000004;6.420123159999985;2.882015420000001;5.160247250000002;3.7816459300000154;3.7995337100000013;4.173349590000004;3.9349720400000145;8.418405359999984;8.575110330000014;5.1764777500000125;8.934232969999996;8.78400733;11.35906608999995;11.374464320000008;11.52307699999995;11.60925400999999;2.2391605600000015;2.1828540300000046;2.42263337;2.237483009999998
6;9.543966499999982;9.471101910000023;6.0476407607607605;9.56545496000002;5.689304089999993;8.827430100000004;6.264155309999974;16.570274049999952;9.39483638999997;10.593579829999982;19.23412011000006;5.747666069999975;17.800492849999987;9.085696429999974;19.748998080000007;8.35557675;9.330669190000009;22.107061390000123;9.636937910000006;13.634383770000017;8.286351650000015;12.240174959999928;22.79203650000001;5.300906499999967;5.506423309999991;7.627303240000007;4.81111157000002;5.111356629999989;4.846668490000005;10.622055619999992;11.638971049999963;11.819121549999982;3.733257960000004;12.731276739999945;5.543961450000016;4.834243010000024;7.82936035000003;14.890625029999986;15.60699690999995;21.16069711000003;5.12909492999999;4.177680250000005;21.18798866999999;4.464091459999999;6.880716060000018;4.861130220000006;3.451581519999998;4.2133213399999905;3.377950079999995;7.831926420000011;18.927347109999875;7.715863479999987;18.50954508;17.70942780000001;17.90825355000005;15.958870290000064;7.382922419999984;15.293112489999933;6.037275180000022;6.106590489999997;7.179478099999988;3.3483746600000064;5.817303580000008;4.3695395400000105;4.374577349999998;4.7644100199999935;4.533795530000013;9.115921920000009;9.294283230000014;5.813094310000004;9.603241049999948;9.497689220000007;12.009382959999945;12.042681619999984;12.156846629999954;12.203213729999968;2.593685040000002;2.542700650000006;2.8004699500000036;2.6078399900000013
7;10.65012907999998;10.499183230000032;6.872655015015008;10.880293490000017;6.434231529999986;9.643762869999996;7.081418599999994;18.563230589999957;10.89172976999998;12.157171530000017;21.285027820000046;6.495344449999984;19.998606479999975;10.317479089999976;22.029696289999933;9.487426909999975;10.51501778000003;24.022184570000054;10.699304229999976;15.340292420000004;9.06538961000003;13.530712659999958;24.661645360000048;6.0499098599999845;6.2403951399999755;8.15604147000003;5.450370220000014;5.685788019999994;5.466407720000002;11.973206889999979;13.052633749999975;13.249070520000014;4.1842753900000025;14.244882899999974;6.396434040000037;5.581564890000019;8.801534590000019;16.348423789999988;17.079736309999937;22.251943530000005;5.622528359999993;4.78732754000001;22.326722029999985;5.088981719999991;7.562900450000014;5.4733775900000055;3.866257239999998;4.695284459999991;3.8283330099999846;8.655415670000023;19.946892139999942;8.611716500000002;19.42299783999997;18.825239010000008;18.96944112000006;16.935454029999992;8.195112049999963;16.18347789;6.736053440000008;6.859527610000008;7.8345256299999555;3.7828563199999983;6.490024470000009;4.959193270000018;4.972464599999997;5.375577159999991;5.045893590000019;9.769099939999998;9.890335490000004;6.40851460000001;10.174323949999964;10.086110220000014;12.592621339999935;12.637358469999972;12.689338089999985;12.768724369999974;2.9310699400000058;2.8721193000000023;3.157839869999996;2.965835340000003
8;11.75342803999999;11.403180980000041;7.758192502502499;12.01139843000001;7.264414550000009;10.454633559999996;7.890779480000029;20.571909819999995;12.192451199999962;13.646264540000042;23.37237033000007;7.243912859999991;22.10567231;11.51817365999996;24.042705189999882;10.518415269999974;11.474289890000007;25.77647599000008;11.653732319999994;16.869983460000025;9.763036160000057;14.885679609999967;26.410533919999956;6.830918299999998;6.923480599999983;8.77509794000004;6.036465190000014;6.2994595899999855;6.157934610000019;13.212852179999938;14.47625864;14.559690050000025;4.6941417200000055;15.673211589999916;7.245530890000073;6.306733440000027;9.67994614000002;17.682934029999977;18.45815902999994;23.240012160000035;6.215103119999987;5.363785309999994;23.318453899999994;5.702830019999992;8.232242309999982;6.125860910000022;4.347904399999989;5.234191089999998;4.21042134999998;9.497251310000012;20.911982289999898;9.467960640000001;20.30761477000004;19.75794075;19.903814090000054;17.80462150999999;8.91544341999997;17.015528149999973;7.435728659999985;7.5288152700000035;8.48711686999999;4.160441109999989;7.125541849999981;5.48440051;5.492159089999985;6.018591939999984;5.604825080000007;10.291883480000006;10.426020049999995;7.001246550000012;10.73286764999999;10.607342679999995;13.12368140999997;13.173623929999952;13.198634750000013;13.238135749999973;3.2722799000000027;3.2498453000000036;3.5314498399999987;3.3293304400000046
9;12.733844500000009;12.379207580000038;8.55521065065067;13.086415350000028;8.106725540000005;11.16101543;8.876315680000019;22.091064349999982;13.559102259999964;15.122183520000078;25.211788170000013;8.024235729999996;23.979728840000046;12.628904199999958;25.778412839999895;11.60670787999996;12.243108679999992;27.317713239999982;12.587078229999996;18.435181620000073;10.417705140000056;16.156802259999946;27.99123094999998;7.56338481999996;7.689085589999991;9.303039780000047;6.632088629999997;6.861531439999977;6.8176237400000215;14.449556349999993;15.808954500000057;15.774892090000023;5.15515133999999;17.035146209999922;8.045066120000053;6.969988790000017;10.610807800000007;18.84078336000002;19.80541304999997;24.07580562000006;6.769620299999986;5.940802419999987;24.17327682999999;6.3367513499999815;8.973642980000013;6.70117168000002;4.768149939999988;5.7900169199999905;4.643935959999972;10.24431888;21.75093399999988;10.32681770000002;21.017336520000047;20.560385180000026;20.708884160000043;18.56292194999995;9.532516920000003;17.71614132999999;8.076500909999968;8.161850360000015;9.052800080000004;4.580560419999991;7.707292119999987;5.985037909999988;5.965977859999979;6.568218889999975;6.112842280000011;10.84821094999998;10.94834986000002;7.5341106400000095;11.223811090000018;11.114809160000018;13.624123189999972;13.668312469999956;13.674963599999995;13.67188422;3.6369062199999993;3.617199669999998;3.8948116499999967;3.641524660000002
10;13.798115019999988;13.33791986000005;9.427226856856858;14.180615119999999;8.880514810000024;11.883117060000014;9.713130720000022;23.68911543;14.84977894999994;16.606899670000093;26.75898277999998;8.590513240000018;25.736883169999988;13.865871470000018;27.412389559999948;12.794011059999967;13.045686060000007;28.62545411999994;13.524490160000022;19.745871690000055;11.15564567000006;17.272195239999974;29.340807669999986;8.24213094999998;8.41412365;9.927241010000042;7.217605090000014;7.498273229999971;7.4224120200000225;15.643704589999993;17.138097120000083;16.949297040000047;5.581038120000001;18.380977429999938;8.834936320000057;7.607033590000002;11.518097670000039;19.93467132000002;21.013042760000033;24.835114860000036;7.291374789999983;6.487626640000004;24.94584587000002;6.91623275999997;9.568706009999985;7.323006300000029;5.183629769999992;6.3254043399999755;4.974600259999974;10.965269900000012;22.4814285199999;11.036224760000017;21.753985820000025;21.307570889999948;21.429377700000025;19.302587469999953;10.166555670000012;18.359444580000027;8.690102649999991;8.740635210000011;9.608913149999989;4.900193549999984;8.305341549999996;6.5179256799999905;6.4625537699999835;7.109244839999976;6.613201510000009;11.32070727999999;11.408695980000012;8.058949420000012;11.683051359999997;11.569702129999978;14.090365809999994;14.119982070000004;14.100678519999967;14.100407300000006;4.00959341;3.9230857199999933;4.2359924899999974;3.9926918400000044
