p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
0.9213;82.154;81.8084;61.0108;0.0886;0.0;81.8808;4.8965;206.1545;2.1372;50.3785;1.5893;79.2687;53.6824;0.2951;54.0129;66.6944;0.0;251.471;0.0;8.9421;11.2718;3.9198;5.7653;111.3604;2.4169;2.8694;53.5331;0.5919;0.0;17.1226;20.2524;80.9846;33.7012;4.8447;0.0
1.0836;81.9424;83.7396;65.4044;0.1217;0.0;82.0077;12.1724;56.4473;4.2711;55.7672;2.9507;80.0279;20.9287;0.1214;2.6085;70.2595;0.0;194.8254;0.0;18.9811;82.0466;3.5384;4.089;0.0;0.1646;2.7999;0.6274;7.6876;0.0;10.8963;17.7613;80.9778;22.8454;13.6089;0.0
66.4302;0.0;5.5582;63.6987;58.4949;50.2358;0.0;0.0686;10.2252;1.9912;51.4818;3.014;79.7347;25.9071;24.3144;75.6526;24.1097;74.6408;0.0;58.0244;5.0477;3.0419;0.0;0.3509;0.0;91.7378;4.6035;54.4376;6.5889;109.0578;3.6222;12.7207;79.3734;19.8787;5.368;75.1764
62.1174;0.0;5.8698;118.8422;52.8139;50.3539;0.0;59.8324;158.8413;2.7617;43.4112;0.6526;82.4442;4.0646;24.3107;67.979;89.3798;69.3663;0.0;50.4904;8.5223;119.0905;0.0;0.607;0.0;91.5764;3.3001;119.96;1.3091;50.8314;0.8518;9.7757;82.5283;33.9666;49.875;76.3874
59.2288;19.5769;82.9848;113.5815;0.2429;0.0;2.9144;0.1387;222.4552;0.0;0.0885;58.0947;79.8041;54.87;0.1216;164.3082;49.0629;59.8079;0.0;93.0862;13.4962;0.2351;0.899;84.3934;80.5535;0.7706;0.9459;77.5658;0.1214;8.436;3.4435;12.6703;82.7885;7.4949;56.0664;7.2213
62.7251;0.0566;82.6386;108.8141;0.5734;0.0;2.3828;50.1191;166.3789;0.0;0.1213;32.2031;81.8175;28.5046;1.346;72.9845;44.8463;1.2203;0.0;90.6272;38.1035;0.9427;3.3559;76.4523;118.5512;50.2359;1.5777;35.6998;0.1213;6.2393;5.0106;21.2137;82.4311;14.9893;52.7073;7.1443
12.7601;83.0459;0.2431;101.1337;0.0;55.3442;0.1217;50.0;219.6585;80.8259;50.554;9.2923;81.3632;30.0051;60.7522;30.0659;95.7739;50.1181;0.0;61.0088;13.5376;2.0036;0.0;122.6847;81.3562;1.5359;21.343;3.995;0.1103;59.2019;17.8332;9.3447;0.0;20.2312;51.1134;80.2353
5.5146;82.8429;0.2426;103.7426;0.0;53.8123;0.1031;0.0;59.0788;82.021;44.3814;2.2463;82.5782;5.2566;65.6492;29.6227;95.5846;0.4015;0.0;80.8909;15.1202;0.0;0.0;257.4381;86.1586;5.1743;22.0585;2.9767;0.1213;55.5612;11.9705;9.0192;0.0;33.1109;55.9528;5.4891
14.4288;81.0388;3.6206;50.7578;48.4935;0.4712;81.505;8.5278;215.6117;0.0;0.0;54.348;1.2148;43.3436;0.1214;80.6121;0.0;51.4137;66.9881;91.9843;5.579;3.8976;36.1485;0.2352;0.2364;49.875;2.1707;92.1331;82.4507;0.0;15.1222;28.6162;82.7906;0.0;0.0;0.0
15.1842;81.0829;11.5737;100.0913;52.1529;1.7065;83.3452;33.578;211.8767;0.0;0.0;53.704;0.5419;49.5027;0.122;115.1233;12.7633;0.0;170.7186;61.6438;14.8648;1.5108;9.3067;0.2363;50.236;55.4756;2.4164;81.2267;82.7611;50.0;15.9159;13.7387;81.419;0.0;0.1259;0.0
