p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
66.7185;81.8852;82.213;106.0583;51.3545;134.1516;80.1122;47.738;154.4748;83.1998;43.2877;113.477;83.2176;9.602;82.1525;158.7713;149.0032;50.9483;140.6485;63.2348;63.6762;9.2008;23.0442;257.2889;159.5766;199.0519;8.3355;124.4653;84.2861;97.5621;11.7951;4.6435;82.8126;38.4781;145.6005;78.7174
65.7529;82.6779;82.4917;50.4702;38.494;118.6393;82.6522;58.4123;256.8475;82.3255;34.6861;2.2796;82.5088;7.983;84.2328;122.4042;98.0901;50.2363;48.4381;42.0852;41.9798;3.5152;28.7062;145.9214;104.7503;111.6082;3.5433;87.5628;83.2685;159.6485;7.2601;15.3565;82.5541;14.4372;143.0544;75.0303
65.4211;82.1267;79.2291;58.3757;61.089;117.0548;83.0436;61.7234;171.4697;80.4856;59.1445;225.84;81.146;38.0622;82.7401;0.2;195.7504;65.5002;145.8733;102.5813;43.6102;5.4338;12.6278;69.8911;101.5171;103.1763;2.194;121.02;80.8407;53.3997;12.8568;37.7222;81.1059;30.1916;16.7306;77.7237
63.9996;82.3064;84.4207;50.2156;19.8406;10.4217;82.991;141.8515;120.814;82.5461;10.913;1.8899;84.2772;18.1486;82.2425;126.6545;50.1185;68.1948;162.4263;52.1259;53.3164;15.4904;36.196;34.1525;22.8992;136.0392;4.2228;95.8755;84.3014;109.0065;14.5621;17.154;84.4459;23.982;22.269;76.8004
61.9261;81.8696;83.1293;118.6929;52.9761;3.401;79.7093;96.4247;164.3179;81.8317;21.5695;281.0903;83.6036;21.4524;82.6703;114.7939;145.3709;119.1666;237.8758;12.3063;34.9647;4.2804;16.8568;204.3119;99.5309;68.3945;124.0919;100.3778;84.1224;52.228;12.1957;15.2301;81.4921;18.8224;183.5818;77.1406
64.6669;82.8576;84.7768;69.3856;57.4354;115.3961;80.8141;99.9078;171.5211;81.3653;52.4947;276.4218;82.8877;14.8758;84.1958;52.8374;147.234;174.9623;262.1012;105.1977;64.9715;12.699;12.1482;155.0001;214.0319;7.1928;1.8989;100.1763;82.4799;53.933;8.0561;18.7606;79.7182;21.249;85.4484;78.3733
61.7725;83.1319;82.0837;60.6046;77.3928;118.9343;81.2005;137.045;319.3382;83.8409;52.5242;223.7511;79.8621;53.3497;82.5288;73.6745;87.8217;128.1677;154.3093;117.1761;45.8629;4.0229;15.8408;259.1383;54.2243;161.1653;252.1881;91.2898;82.3397;110.0009;8.8225;20.5443;82.875;11.2782;137.8244;72.9046
63.739;81.8637;82.6128;52.7239;53.8866;232.5997;80.8697;105.6203;111.1391;80.4594;52.2529;214.4443;81.4095;49.1095;84.263;167.0056;50.0794;50.2355;81.1614;15.5437;74.1123;5.6248;57.3885;36.9132;131.084;205.7679;51.9318;49.1082;83.6288;105.1572;16.8253;10.6467;81.0665;19.4943;73.2661;74.4601
60.8377;82.0977;80.8359;113.9607;58.7015;219.7241;84.6403;150.5889;118.6329;82.0012;52.6948;270.0566;80.8239;24.3272;83.7281;65.2933;50.1177;71.2261;212.1188;69.3008;52.8084;118.442;13.0985;33.0179;14.612;86.665;175.5559;106.5868;82.5556;104.982;12.1275;24.6387;83.0289;11.0971;51.9009;73.534
60.6918;81.928;80.8482;116.5716;53.2125;24.8273;82.576;118.5696;218.1232;80.5099;52.3785;220.5364;82.8881;29.815;82.8015;122.9402;50.1182;70.4343;54.3417;114.9943;66.3297;82.4064;22.2351;126.7457;68.2095;15.7952;5.2482;84.5586;84.0474;103.1245;19.3664;12.0242;84.2108;16.2811;111.9537;78.964
63.2391;83.2687;82.0506;96.9046;51.7943;8.8354;84.1067;52.9625;172.3696;81.8635;53.0876;3.1834;82.4191;39.8681;77.0039;76.9225;50.1186;123.405;77.7773;113.8621;53.6457;4.6053;5.3581;151.1177;88.0197;104.7549;0.8896;96.5917;81.5745;105.2747;14.7426;13.8864;80.8704;54.9471;150.4581;75.364
