p: 0.5,ibrida,arena: II;p: 0.5,alterazione,arena: I;p: 0.79,ripartizione,arena: I;p: 0.1,ibrida,arena: IV;p: 0.79,alterazione,arena: II;p: 0.5,ibrida,arena: III;p: 0.79,ibrida,arena: I;p: 0.5,alterazione,arena: IV;p: 0.1,alterazione,arena: III;p: 0.5,ibrida,arena: I;p: 0.79,ibrida,arena: II;p: 0.5,alterazione,arena: III;p: 0.1,ibrida,arena: I;p: 0.1,ripartizione,arena: II;p: 0.79,alterazione,arena: I;p: 0.1,ripartizione,arena: IV;p: 0.79,ripartizione,arena: IV;p: 0.79,ibrida,arena: IV;p: 0.1,ripartizione,arena: III;p: 0.1,alterazione,arena: IV;p: 0.5,alterazione,arena: II;p: 0.5,ripartizione,arena: IV;p: 0.79,ripartizione,arena: II;p: 0.1,ibrida,arena: III;p: 0.79,ripartizione,arena: III;p: 0.79,alterazione,arena: IV;p: 0.5,ripartizione,arena: III;p: 0.5,ibrida,arena: IV;p: 0.5,ripartizione,arena: I;p: 0.79,alterazione,arena: III;p: 0.1,alterazione,arena: II;p: 0.1,ibrida,arena: II;p: 0.1,ripartizione,arena: I;p: 0.5,ripartizione,arena: II;p: 0.79,ibrida,arena: III;p: 0.1,alterazione,arena: I
63.263;82.6125;82.1101;151.8473;21.2331;228.4747;82.0477;101.9267;169.5273;83.0376;51.6414;103.1446;80.8458;56.5338;80.5768;53.8711;44.2089;57.1259;139.0266;58.2781;36.6662;4.9204;52.6712;208.9508;158.3883;0.0;2.2293;97.7774;83.794;106.3363;10.9728;23.9267;83.8939;4.9607;241.095;75.6575
62.0984;80.06;81.7571;116.5257;34.0432;124.5569;81.6249;64.1308;216.0271;81.8158;9.7199;100.7966;80.9468;4.8405;82.4902;2.9588;50.354;60.5019;151.0531;56.8981;54.767;9.8557;9.5842;69.3164;168.7494;10.0209;292.0781;94.346;83.0243;158.1893;23.7308;12.4944;81.6595;29.4348;209.6115;81.8411
64.8707;82.0963;83.1829;118.9171;51.7373;19.914;82.0104;93.6386;118.434;82.3352;52.7131;2.8128;80.9814;31.0568;84.0733;36.8687;93.1642;66.5353;255.614;108.8853;51.1733;115.6309;31.1297;29.6819;110.4359;0.2079;297.0725;54.2298;81.082;108.7305;16.3014;11.7384;81.0701;21.296;153.8423;80.779
60.6401;82.804;77.473;109.1108;52.1081;6.3842;83.3437;68.081;75.1132;81.9982;47.4068;4.7815;81.4894;9.9005;80.1615;68.3701;79.7962;68.636;66.1463;66.2066;61.8864;15.593;24.9903;140.8921;50.0;201.1861;137.7074;90.8521;82.8029;110.446;7.6107;19.108;77.6167;11.2686;133.3055;77.098
59.8076;81.6345;81.8335;50.929;23.8387;125.6545;82.4824;50.0;175.8639;79.6683;34.5108;220.0382;80.9451;53.7777;81.845;122.5692;45.7044;128.5205;182.5423;118.6022;52.8467;4.0503;30.0277;146.6409;33.1932;93.9832;65.7181;125.4743;83.8352;101.1481;6.1327;12.7486;82.974;12.1038;2.6574;77.0939
63.1892;83.7366;83.1273;68.2135;56.2431;6.602;84.4829;100.9793;229.5231;83.9443;3.3368;0.0;84.4297;18.8129;84.5013;61.9108;89.971;55.7975;203.5711;111.8246;58.907;3.5838;4.6178;160.6457;50.0;22.0268;122.2428;91.8094;83.1245;153.4882;20.2178;11.9091;81.3924;17.2674;186.4092;83.7811
64.7297;82.1102;80.157;110.6998;51.1121;239.7081;84.6533;115.5028;164.9468;82.6822;47.7484;107.8015;81.7338;15.1392;82.9995;50.1179;46.6847;56.0701;243.8817;45.4099;69.7596;15.7822;5.4707;256.4218;50.1202;1.7988;11.7048;137.6084;82.0506;109.9183;27.5547;13.1398;84.4122;19.046;73.6614;82.4789
64.1019;83.9914;82.1049;102.7724;53.1205;123.6984;80.7433;133.975;152.928;80.7635;24.5552;108.2964;84.3618;18.157;79.675;75.0065;52.2394;69.1211;67.389;119.7074;61.4499;11.7073;5.5502;203.0903;221.9565;35.6707;49.875;47.1893;82.4099;109.6554;12.3989;13.393;80.3477;32.4728;264.2774;81.5138
58.1863;84.1064;82.7609;117.1522;53.3048;117.0068;84.3255;126.0991;168.2347;78.927;44.2855;112.4792;83.618;33.3874;79.3071;125.3071;93.8708;71.9862;147.7437;59.8445;55.9853;132.271;19.1021;147.3284;95.1685;79.3588;1.3807;85.3439;81.8275;109.6167;21.3599;4.8942;82.2992;44.5143;115.1607;84.7537
72.3635;82.6258;84.3085;58.4299;55.7371;116.8559;83.1846;62.0306;274.7912;77.9055;52.6938;2.558;80.9521;23.9147;82.8828;73.0936;43.028;70.2255;89.9671;114.3081;20.2383;9.1335;28.0691;40.5169;53.8451;206.5033;105.883;79.1691;82.6221;51.265;25.7766;33.8259;82.5164;22.3401;190.8703;81.0766
